NAME                       VERSION                TYPE         
addr2line                  0.24.2                 rust-crate    
adler2                     2.0.0                  rust-crate    
aes                        0.8.4                  rust-crate    
alpine-baselayout          3.6.5-r0               apk           
alpine-baselayout-data     3.6.5-r0               apk           
alpine-keys                2.4-r1                 apk           
alpine-release             3.20.3-r0              apk           
alsa                       0.9.1                  rust-crate    
alsa-lib                   1.2.11-r0              apk           
alsa-sys                   0.3.1                  rust-crate    
anstream                   0.6.17                 rust-crate    
anstyle                    1.0.9                  rust-crate    
anstyle-parse              0.2.6                  rust-crate    
anstyle-query              1.1.2                  rust-crate    
aom-libs                   3.9.1-r0               apk           
apk-tools                  2.14.4-r0              apk           
arrayvec                   0.7.6                  rust-crate    
async-trait                0.1.83                 rust-crate    
atomic-waker               1.1.2                  rust-crate    
avahi                      0.8-r17                apk           
avahi-libs                 0.8-r17                apk           
aws-lc-rs                  1.10.0                 rust-crate    
aws-lc-sys                 0.22.0                 rust-crate    
backtrace                  0.3.74                 rust-crate    
base64                     0.13.1                 rust-crate    
base64                     0.21.7                 rust-crate    
base64                     0.22.1                 rust-crate    
base64ct                   1.6.0                  rust-crate    
bash                       5.2.26-r0              apk           
bitflags                   1.3.2                  rust-crate    
bitflags                   2.6.0                  rust-crate    
block-buffer               0.10.4                 rust-crate    
brotli-libs                1.1.0-r2               apk           
busybox                    1.36.1-r29             apk           
busybox-binsh              1.36.1-r29             apk           
bytemuck                   1.19.0                 rust-crate    
byteorder                  1.5.0                  rust-crate    
bytes                      1.8.0                  rust-crate    
c-ares                     1.33.1-r0              apk           
ca-certificates            20240705-r0            apk           
ca-certificates-bundle     20240705-r0            apk           
catatonit                  0.2.0-r0               apk           
cfg-if                     1.0.0                  rust-crate    
chrono                     0.4.38                 rust-crate    
cipher                     0.4.4                  rust-crate    
cjson                      1.7.18-r0              apk           
colorchoice                1.0.3                  rust-crate    
confuse                    3.3-r4                 apk           
const-oid                  0.9.6                  rust-crate    
coreutils                  9.5-r1                 apk           
coreutils-env              9.5-r1                 apk           
coreutils-fmt              9.5-r1                 apk           
coreutils-sha512sum        9.5-r1                 apk           
cpal                       0.15.3                 rust-crate    
cpufeatures                0.2.14                 rust-crate    
crypto-common              0.1.6                  rust-crate    
ctr                        0.9.2                  rust-crate    
curl                       8.9.1-r2               apk           
dasp_sample                0.11.0                 rust-crate    
data-encoding              2.6.0                  rust-crate    
dbus                       1.14.10-r1             apk           
dbus-daemon-launch-helper  1.14.10-r1             apk           
dbus-libs                  1.14.10-r1             apk           
der                        0.7.9                  rust-crate    
deranged                   0.3.11                 rust-crate    
digest                     0.10.7                 rust-crate    
encoding_rs                0.8.35                 rust-crate    
env_filter                 0.1.2                  rust-crate    
env_logger                 0.11.5                 rust-crate    
equivalent                 1.0.1                  rust-crate    
errno                      0.3.9                  rust-crate    
fastrand                   2.1.1                  rust-crate    
ffmpeg                     6.1.1-r8               apk           
ffmpeg-libavcodec          6.1.1-r8               apk           
ffmpeg-libavdevice         6.1.1-r8               apk           
ffmpeg-libavfilter         6.1.1-r8               apk           
ffmpeg-libavformat         6.1.1-r8               apk           
ffmpeg-libavutil           6.1.1-r8               apk           
ffmpeg-libpostproc         6.1.1-r8               apk           
ffmpeg-libswresample       6.1.1-r8               apk           
ffmpeg-libswscale          6.1.1-r8               apk           
findutils                  4.9.0-r5               apk           
fixedbitset                0.4.2                  rust-crate    
fnv                        1.0.7                  rust-crate    
fontconfig                 2.15.0-r1              apk           
form_urlencoded            1.2.1                  rust-crate    
freetype                   2.13.2-r0              apk           
fribidi                    1.0.15-r0              apk           
futures                    0.3.31                 rust-crate    
futures-channel            0.3.31                 rust-crate    
futures-core               0.3.31                 rust-crate    
futures-executor           0.3.31                 rust-crate    
futures-io                 0.3.31                 rust-crate    
futures-macro              0.3.31                 rust-crate    
futures-sink               0.3.31                 rust-crate    
futures-task               0.3.31                 rust-crate    
futures-timer              3.0.3                  rust-crate    
futures-util               0.3.31                 rust-crate    
generic-array              0.14.7                 rust-crate    
getopts                    0.2.21                 rust-crate    
getrandom                  0.2.15                 rust-crate    
giflib                     5.2.2-r0               apk           
gimli                      0.31.1                 rust-crate    
glib                       2.80.5-r0              apk           
glslang-libs               1.3.261.1-r0           apk           
gmp                        6.3.0-r1               apk           
gnutls                     3.8.5-r0               apk           
governor                   0.6.3                  rust-crate    
graphite2                  1.3.14-r6              apk           
h2                         0.3.26                 rust-crate    
h2                         0.4.6                  rust-crate    
harfbuzz                   8.5.0-r0               apk           
hashbrown                  0.15.0                 rust-crate    
headers                    0.4.0                  rust-crate    
headers-core               0.3.0                  rust-crate    
hmac                       0.12.1                 rust-crate    
hostname                   0.4.0                  rust-crate    
http                       0.2.12                 rust-crate    
http                       1.1.0                  rust-crate    
http-body                  0.4.6                  rust-crate    
http-body                  1.0.1                  rust-crate    
http-body-util             0.1.2                  rust-crate    
httparse                   1.9.5                  rust-crate    
httpdate                   1.0.3                  rust-crate    
humantime                  2.1.0                  rust-crate    
hwdata-pci                 0.382-r0               apk           
hyper                      0.14.31                rust-crate    
hyper                      1.5.0                  rust-crate    
hyper-proxy2               0.1.0                  rust-crate    
hyper-rustls               0.24.2                 rust-crate    
hyper-rustls               0.26.0                 rust-crate    
hyper-rustls               0.27.3                 rust-crate    
hyper-util                 0.1.10                 rust-crate    
iana-time-zone             0.1.61                 rust-crate    
idna                       0.5.0                  rust-crate    
if-addrs                   0.12.0                 rust-crate    
imath                      3.1.12-r0              apk           
indexmap                   2.6.0                  rust-crate    
inout                      0.1.3                  rust-crate    
ipnet                      2.10.1                 rust-crate    
is_terminal_polyfill       1.70.1                 rust-crate    
itoa                       1.0.11                 rust-crate    
jq                         1.7.1-r0               apk           
json-c                     0.17-r0                apk           
lame-libs                  3.100-r5               apk           
lazy_static                1.5.0                  rust-crate    
lcms2                      2.16-r0                apk           
libSvtAv1Enc               2.0.0-r1               apk           
libacl                     2.3.2-r0               apk           
libass                     0.17.2-r0              apk           
